Question,Reponse
 Que faire si un agent  n'arrive pas à se connecter?,"1- Vérifier si le signe 4G du réseau est activé

2- Vérifier si le TPE est connecté en faisant le test diagnostic réseau dans les paramètres.

3- Vérifier si dans le champ username est bien inscrit le username de 
l'utilisateur en question.

4- Si les 3 vérifications précédentes sont bonnes alors c'est l'utilisateur qui aurait certainement oublié sont mot de passe et pour corriger le problème, il faut lui réinitialiser son compte pour qu'il recrée un nouveau mot de passe, ensuite il faut aussi réinitialiser son TPE pour que le nouveau mot de passe soit pris en compte. "
"Que faire lorsque les menus de l'application ne s'affichent pas après l'appui sur le bouton ""Tontine Digitale""?","Cliquer sur les trois points verticaux pour configurer l'offline.
Si après configuration, le problème persiste, réinitialiser le TPE.
Si le problème démeure, alors la base de données en local est corrompu
Pour ce faire, suivre la procédure conséquente"
Difficulté de changement de mot de passe et de code PIN relatif à la première connexion,Faire recours au Manuel de chargement de mot de passe elaboré pour ce fait afin de bien suivre les différentes etapes.
"Que faire si le TPE est connecté à internet et la réponse du test de diagnostic réseau  est ""icash service pas disponible"" et le cluster ID du tpe ne s'affiche pas après réinitialisation ?","1-Eteindre le TPE                                                                                                                                                                                                                                                                                                                                                                                              2-Enlever , remettre la SIM et demarrer le TPE                                                                                                                                                                                                                                                                                                                                    3-Si le probleme persiste , demander à ce qu'on redémarre le serveur Web du fait du renouvellement du certificat"
Que faire si le message d'erreur (Synchronisation agent off-air requise) apparait quand on appuie sur le module ''Tontine Digitale'' ?,Configurer le mode OFFLINE et réessayer l'action
"Que faire si lors de l'enregistrement d'un ancien client, l'on a le message ""Aucun client identifié"" lors de la recherche en local sur le TPE?","Dans ce cas, essayer la recherche en mettant le nom du client au niveau du champ ""Nom"" et le prénom au niveau du champ ""Prénom""; si ça ne marche toujours pas alors faire le login Plateforme Centrale et faire la recherche dans la base centrale."
"Que faire si lors de l'enregistrement d'un nouveau client, pendant la lecture de la carte du client au moment de l'assignation, l'application s'arrête pour une raison quelconque?","Une fois l'application relancée, aller au niveau de Tontine Digitale, Assigner une carte, Lire la carte que l'on veut assigner au client, cliquer sur la loupe au niveau du champ ""Identifier le client"", sélectionner le client puis continuer l'opération d'assignation de la carte.; Si le client n'est pas retrouvé lors du clic sur la loupe, alors reprendre l'enregistrement."
"Erreur ""Potentiel doublon identifié pour ce client""","Ce cas se présente lorsque l'agent a déjà essayé d'enregistrer une fois le client et a eu une erreur. Dans ce cas précis, aller au niveau de Tontine Digitale, Assigner une carte, Lire la carte que l'on veut assigner au client, cliquer sur la loupe au niveau du champ ""Identifier le client"", sélectionner le client puis continuer l'opération d'assignation de la carte.

Dans le cas où lors de l'assignation , vous recevez toujours un message d'erreur, vérifier l'identifiant unique qui s'est affiché après sélection du nom du client. Si vous remarquez que l'identifiant unique est valide, alors réessayer l'assignation. Dans le cas contraire (si 'identifiant unique n'est pas valide), alors contactez la cellule pour qu'un code d'autorisation vous soit généré pour que vous reprenez l'enregistrement de ce client."
"Erreur ""Carte non initialisée"" lors de la lecture de la carte de l’agent au cours de l’enregistrement d’un épargnant",Réinitialiser le Terminal (TPE).
Message d’erreur lors de l’assignation d’une carte client (Données carte manquante ou invalide),"Vérifier si toutes les informations saisies sont correctes (Type de pièce d'identité etc) et voir si dans le champ ""Identifiant unique épargnant"", il y a bien un numéro valide (12 Chiffres) ou un message d'erreur. Dans le cas où c'est un message d'erreur ou un numéro invalide, refaire la lecture de la carte agent;"
Que faire si un plan erroné a été créé et qu'on a déjà collecté de mises dessus?,"Cliquer sur le bouton ""Terminer"", et réessayer l'assignation"
Double collectes sur un plan suite a un jeu d'écran blanc fait par le TPE, - Suspendre la ventillation des collectes                                                                                                                                                                                                                                                                                                                                  -Désactiver le plan ayant reçu de mauvaises collectes  puis recréer un nouveau afin de faire les collectes sur le bon plan
Des plans tontines désactivés sur le TPE mais pas sur la plateforme,Parfois les agents désactivent des plans sur le TPE et la plateforme ne prend pas ça en compte. Ainsi après une assistance de désactivation de plan sur le TPE veuillez voir si c'est pris en compte par la plateforme. 
"Que faire si lors de la création du plan, le TPE envoie ""Aucun compte Tontine pour le client""?","Dans ce cas, cliquer sur le triangle, et sélectionner ""Oui"" si vous êtes certain que le client a déjà un compte Tontine. Si après sélection du Oui, vous continuer et le TPE renvoit toujours l'erreur ""Aucun compte Tontine Identifié pour ce client"", exécuter la procédure de réassignation de la carte et réessayer.

Dans le cas où le client n'a vraiment pas de compte Tontine, alors exécuter la procédure de création d'un compte Tontine et réessayer la création du plan."
"Que faire si lors de la création du plan, le nom du client ne s'affiche pas après lecture de sa carte?","Dans ce cas, exécuter la procédure de réassignation de la carte et réessayer la création du plan"
"Que faire si lors de la création d'un plan, le TPE se plante?","Redémarrer le TPE et lire la carte du client au niveau de l'onglet ""Collecter l'Epargne"" afin de voir si le montant net à collecter s'affiche; Dans le cas où le montant net s'affiche alors le plan a été créé; dans le cas contraire, recréer le plan."
"Que faire lorsque lors d'une collecte, les mises pour un client choisi n'apparaissent pas?","1- Vérifier sur la plateforme si pour le client choisi, un plan a été créé
2- Vérifier sur la plateforme si le plan du client n'a pas expiré 
3- Vérifier si le plan du client n'est pas à maturité
4- Voir si le TPE dispose d'une connexion
5- Voir si la date et l'heure du TPE sont exactes (si c'est exact alors c'est la base de données du TPE qui a de problème et il faut la synchronisation; si la date et l'heure ne sont pas exact,  réglez-les et relancer)"
Mauvaise collecte sur le compte d'un autre client en agence,"1 -Verifier si la collecte a été déjà ventilée sur le compte du mauvais client. Si oui , le Chef d'agence demande au  comptable qu'une écriture comptable soit passé pour débiter le mauvais compte et créditer le bon compte.                                                                                                                                                                                                                                                                                                                                                                   2-Desactiver  le mauvais plan sur lequel la collecte a été faite puis si c'est un plan valable pour un client, lui recréer son plan et collecter ses mises."
Mauvaise collecte sur le compte d'un autre client pour un mois anterieur (ventilation  effectuée),Le Chef d'agence demande au comptable qu'une écriture comptable soit passée pour débiter le mauvais compte et créditer le bon compte.Cette procedure est interne à l'institution.
Mauvaise collecte sur le compte d'un autre client sur le terrain(ventilation non effectuée),"Lors d'une mauvaise collecte sur le compte d'un autre client, Immédiatement l'agent doit :                                                                          1-Suspendre la ventilation des collectes sur le mauvais plan sur le TPE.                                                                                                                         2- Recréer pour le client , un plan avec ses collectes                                                                                                                                                                                              3- Faire les collectes pour le bon client                                                                                                                                                                                                             4-Informer son Chef d'agence                                                                                                                                                                                                                        5- Désactiver le mauvais plan une fois en agence                                                                                                                                                                          6- Vérifié dans le SIG si les comptes des deux clients concernés sont bon                                                               "
Message d'erreur lors des collectes : Erreur d'intégrité,1-Demander à l'agent de redemarrer le TPE                                                                                                                                                                                                                                                                                                                                                           2- Vérifier si le TPE a pris en compte les tentatives de collectes pour lesquelles le message d'erreur est apparu. Si les collectes ne sont pas pris en compte alors demander à l'agent  de reprendre  les collectes pour ce client.
Que faire si après lecture de la carte de l'agent lors du reversement en fin de journée le montant collecté ne s'affiche pas dans le champ ''montant enregistré''?,Faire un retour pour cliquer à nouveau sur le bouton ''Reverser les collectes'' et lire la carte du promoteur deux fois.
Message d'erreur lors du reversement : Erreur d'intégrité,Demander à l'agent de redemarrer le TPE et  reprendre le reversement
Que faire si le papier thermique finit lors du reversement?,"Demander au Chef d'agence de se connecter à la plateforme,  et  verifier en filtrant par le nom de l'agent concerné si le reversement a été enregistré pour ce dernier au niveau de l'onglet Reversement . Si oui , le Chef d'agence imprime la page puis certifie avec cette pièce que le reversement a été fait."
"Que faire si après impression d'un reçu, l'on remarque qu'il n'y a pas d'écrits sur ce reçu?",Vérifier si le rouleau de papier thermique du bac à papier du TPE a été placé dans le bon sens d'impression.
"Que faire si après l'enregistrement d'une collecte, l'on remarque que le reçu ne sort pas quand bien même il y a du papier dans le bac?  ","1- Vérifier si le bac à papier du TPE est bien fermé                                                                                                                                                                        2-  Vérifier si après fermeture du bac à papier, le bout du papier thermique sort légèrement à travers les dents de découpage du papier.                                               "
Que faire si l'on remarque qu'un TPE se décharge très vite.,Aller dans les paramètres du TPE pour désactiver le bluetooth si c'est activé et dimunier le niveau de luminosité de l'écran du TPE si c'est trop élevé.
Que faire lorsque le montant enregistré par le TPE est supérieur au montant encaissé?,"Notons que ce problème est dû à un oubli de la part de l'agent qui a renseigné une collecte sans en avoir pris la somme physique. Alors dans ce cas, l'agent doit se référer aux règles en vigueur dans l'institution en matière de gestion d'écart négatif à l'encaissement pour résoudre le problème."
Que faire lorsque le montant à l'encaissement est supérieur au montant enregistré par le TPE?,"Notons dans ce cas que l'agent a oublié de donner la monnaie à un client ou que son compte personnel est entré dans le compte professionnel.Alors dans ce cas, l'agent doit se référer aux règles en vigueur dans l'institution dans le cas d'un écart positif à l'encaissement afin de résoudre le problème."
"Que faire si au début des opérations après un nombre important d'enregistrement de clients ,le TPE devient lent? ","Pendant cette période, prendre l'habitude de redémarrer le TPE dans l'intervalle de cinq à sept enregistrements de clients"
